"Kimi e Musubu Happy End","144339"
"Discover My Secret","147107"
"Learning to Love at Your Feet","144004"
"Kimi no Amai Nioi","144607"
"Love at First Bite","130610"
"Kimi wa Alpha","144481"
"Kimi wa Junai ni Fusawashii","137326"
"Hate Me, but Let Me Stay","120891"
"Kishi-sama (Ikuseichuu) to Doukyo Shimasu","145464"
"The Black Cat & the Vampire","148229"
"Hizamazuite Ai wo Tou","144068"
"Kogare Ouji no Dilemma","131295"
"Koishite BABY","124517"
"Koisuru Hypnotic Therapy","127735"
"Saitei na Otoko no Ude no Naka","142736"
"Training Mister Sakurada","114789"
"Salvation","52919"
"Koi no Binetsu ga Samenakute","37635"
"Saving My Sweetheart","149136"
"Searching for My Father","149424"
"How My Daddies Became Mates","143063"
"Shirouto Nanoni Hameraremashita","143898"
"Jealousy Blinds Love","140241"
"Sign","125772"
"Souteigai no Sweet Marriage","146550"
"How Did I Become the Princess?","152327"
"My Frilly Secret","142636"
"Suguru-kun Fight!","144246"
"Surge Towards You","152130"
"Surviving as the Illegitimate Princess","150982"
"Training Method of an Alpha: Totally Obsessed","148684"
"The Adorable Princess of Doom","150951"
"The Villainess Tames The Beast","148742"
"Yumemiru Choukyoushi no Risou no Goshujinsama","149612"
"The Emperor's Lady-in-Waiting Is Wanted as a Bride","123513"
"The Duke's Bored Daughter is My Master","148266"
"The Monstrous Duke's Adopted Daughter","140136"
"Omega no Mukotori","143958"
"Villain Duke's Precious One","145595"
"The World's Strongest are Obsessed With Me","150335"
"The Titan's Bride","122937"
"The Twins and Me","16475"
"The Twins' New Life","147694"
"The Tyrant's Tranquilizer","149339"
"The Villainess Becomes the Leading Lady","149108"
"All Hail Lady Blanche!","149717"
"The Evil Princess Dreams of a Gingerbread House","148489"
"The Foxy Mouse's Romance","141473"
"Tonari no Otoko","140828"
"Tondemonai Ore no Alpha","135122"
"Top to Bottom","152022"
"Unbreakable Master","166101"
"In the Clear Moonlit Dusk","128463"
"A Lying Omega's Guide to Getting Bitten","143924"
"Young Master's Saucy Kitty","121914"
"Low Tide in Twilight","166205"
"Good Job Young Master","148276"
"Eternal Covenant","160057"
"Kiyoku Tadashiku Utsukushiku","127056"
"Hanagara Tsumi","117551"
"My Secret Crush","160537"
"Bane of My Existence","149599"
"The Beloved Little Princess","131287"
"How to Snag an Alpha","166092"
"Good Hunter & Bad Prey","151513"
"Omega wa Pink no Yume wo Miru","119379"
"Katsuyoku Scandal","142941"
"What We Do When the Curtain Comes Down","129807"
"Scattering His Virgin Bloom","117481"
"Shishi to Myoujou","143190"
"Okane Ariki no Kankei desu ga","129825"
"Forbidden Love: Therianthropic Omegaverse","116497"
"Anti Alpha","120230"
"Kanraku Alpha: Enigma - Dai-4 no Verse","127738"
"Mr. Wolf Is Violently Smothering Me with Love","144747"
"The Broken Ring: This Marriage Will Fail Anyway","153322"
"The Duke's Cursed Charm","148122"
"Mitsuketa Boku no Omega-sama","118012"
"Your Majesty, Please Spare Me This Time","144070"
"I Failed to Oust the Villain!","148991"
"Dakaichi: I'm Being Harassed By the Sexiest Man of the Year","68021"
"My Calypso","149386"
"The Hero's Savior","151233"
"The Male Lead's Girl Friend","147638"
"Ashtarte","150101"
"A Match Made in Mana","149304"
"Otome Yankee wa Unmei no Hito wo Matsu.","144341"
"Kabukicho Bad Trip","133232"
