"H2"
"Ys"
"Dirty Pair: Flight 005 Conspiracy"
"Dirty Pair: Affair on Nolandia"
"Uchuu Enban Dai-Senso"
"Alien Defender Geo-Armor: Kishin Corps"
"Aikatsu! 4"
"DD Fist of the North Star II"
"Fist of the North Star: Strawberry Flavor"
"Is the Order a Rabbit?? Season 2"
"Kindaichi Shounen no Jikenbo Returns (2015)"
"Milpom"
"Mini Vanguard 2"
"Miss Monochrome 3"
"Neko no Dayan, Nihon e Iku"
"Tantei Team KZ: Jiken Note"
"Go! Princess Pretty Cure Movie: Go! Go!! Grand 3-Part Movie!!!"
"High☆Speed! Free! Starting Days"
"Tamayura: Sotsugyou Shashin Movie 3 - Akogare"
"Wake Up, Girls! Movie 2: Beyond the Bottom"
"Youkai Watch Movie 2: Enma Daiou to Itsutsu no Monogatari Da Nyan!"
"Fate/stay night: Unlimited Blade Works 2 - Sunny Day"
"Himouto! Umaru-chan: Umaru-chan Mou Ikkai!"
"Kuroko's Basketball: The Greatest Present"
"Mini Hama Specials"
"To Love Ru: Darkness 2nd Specials"
"Urawa no Usagi-chan Special"
"Miss Monochrome 2"
"Q Transformers: Saranaru Ninkimono e no Michi"
"Seiyuu's Life!"
"The iDOLM@STER: Cinderella Girls Second Series"
"Aikatsu! Music Award: Minna de Shou wo Moracchaima SHOW!"
"Kaiketsu Zorori Movie 3: Uchuu no Yuusha-tachi"
"Pokemon: Pikachu and the Pokemon Music Squad"
"Sinbad: A Flying Princess and a Secret Island"
"Tamayura: Sotsugyou Shashin Movie 2 - Hibiki"
"Wake Up, Girls! Movie 1: The Shadow of Youth"
"Yowamushi Pedal The Movie"
"The Heroic Legend of Arslan Specials"
"Aru Hi: Inu no Kuni Kara Tegami ga Kite"
"Celestial Method: Aru Shoujo no Kyuujitsu"
"In Search of the Lost Future OVA"
"Pokemon: Hoopa, The Mischief Pokemon"
"Saki Biyori"
"The Labyrinth of Grisaia Special"
"Yuru Yuri Nachu Yachumi!+"
"Future Card Buddyfight 100"
"Joker 2"
"PriPara 2"
"Takamiya Nasuno desu!"
"Uta no Prince-sama: Maji Love Revolutions"
"The Adventures of Tyrano Boy"
"Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Dai Shuugeki"
"Initial D Legend 2: Racer"
"Tamayura: Sotsugyou Shashin Movie 1 - Kizashi"
"The Garden of Sinners Movie 7: ......Not Nothing Heart. (Murder Speculation Part B)"
"Bakuman. 3"
"Bakuman. 2"
"Puella Magi Madoka Magica the Movie Part 3: Rebellion"
"Ar Tonelico Sekai no Owari de Utai Tsuzukeru Shoujo"
"Pretear"
"Queen's Blade 2: The Evil Eye"
"Majikoi: Oh! Samurai Girls!"
"Gatchaman The Movie"
"Muv-Luv Alternative: Total Eclipse - Pre-Climax Special"
"Nura: Rise of the Youkai Clan - Demon Capital Recaps"
"Captain Harlock: Mystery of the Arcadia"
"Infinite Stratos Encore: A Sextet Yearns to Be in Love"
"Nura: Rise of the Youkai Clan OVA"
"Rage of Bahamut: Genesis - Roundup"
"Fist of the Blue Sky Specials"
"Space Battleship Yamato 2199: Tsuioku no Koukai"
"Space Dandy 2 Picture Drama"
"Gunbuster 2: Science Lessons"
"Comet Lucifer: From Garden Indigo's Train Shorts"
"Dog Days' Specials"
"Queen's Blade: Vanquished Queens Specials"
"Riddle Story of Devil: Who Is the Winner? (Pop Quiz)"
"Sengoku Basara: Samurai Kings - Clash in the Inland Sea of Seto! Fugaku, the Great Fire-Belching Fortress of the Sea!"
"Fist of the North Star: Legend of Toki"
"Queen's Blade: Vanquished Queens"
"The Ambition of Oda Nobuna Recap"
"Mini Hama"
"Sengoku Basara: Samurai Kings 2 - Dragon and Tiger -- Oath of Victory! Souls Racing Towards a Blazing Future!!"
"Samurai After"
"Space Battleship Yamato Movie"
"The Heroic Legend of Arslan: The Blade to Retake the Kingdom"
"Sengoku Basara: Samurai Kings Movie - The Last Party"
"Fist of the North Star: Legend of Raoh - Fierce Fight"
"Selector Destructed WIXOSS"
"Infinite Stratos: World Purge-hen"
"Fist of the North Star: Legend of Yuria"
"Full Metal Panic! The Second Raid: Episode 00"
"Casshan"
"Date a Live: Encore OVA"
"Nura: Rise of the Youkai Clan Recaps"
"Pokemon Movie 19: Volcanion and the Mechanical Marvel"
"Rozen Maiden Zurückspulen"
"Gunbuster: Science Lessons"
"Queen's Blade: The Exiled Virgin Specials"
"Mini Sengoku Basara Two: Tsukiyo no Katakura-kun"
"Space Battleship Yamato: Resurrection"
"Nura: Rise of the Youkai Clan - Jump Super Anime Tour Special"
"Bodacious Space Pirates Movie: Abyss of Hyperspace"
"Jubei-chan 2"
"Day Break Illusion: il sole penetra le illusioni Special"
"Karneval OVA"
"Buddy Complex: Into the Skies of Tomorrow"
"Samurai After Specials"
"Fist of the North Star: Legend of Raoh - Death for Love"
"Brynhildr in the Darkness: Much Ado About Nothing"
"Samurai Bride Specials"
"Munto Movie: Tenjoubito to Akutobito Saigo no Tatakai"
"Queen's Blade 2: The Evil Eye Specials"
"Aria the Scarlet Ammo: The Butei Come and Train at a Hot Spring"
"Last Exile: Fam, the Silver Wing Movie - Over the Wishes"
"Hakkenden: Eight Dogs of the East 2"
"Terra Formars OVA"
"Gunbuster: Science Lessons Return"
"Selector Infected WIXOSS Specials"
"Samurai Girls Specials"
"Junjou Romantica OVA 2"
"Kindaichi Shounen no Jikenbo Returns: Akechi Keibu no Jikenbo"
"Komori-san Can't Decline!: Info Corner"
"Snow White with the Red Hair 2nd Season"
"Watashitachi, Luck Logic Bu!"
"Yamishibai: Japanese Ghost Stories 3rd Season"
"Doraemon Movie 36: Nobita at the Birth of Japan (2016)"
"Pretty Cure All Stars: Minna de Utau♪ Kiseki no Mahou!"
"Tantei Opera Milky Holmes Movie: Milky Holmes' Counterattack"
"Tamayura: Sotsugyou Shashin Movie 4 - Ashita"
"Sky Wizards Academy: Lecty, Animal Caretaker"
"Lupin III Special 26: Italian Game"
"My Wife Is the Student Council President! OVA"
"Girls Beyond the Wasteland OVA"
"To Love Ru: Darkness 2nd OVA"
"Unbreakable Machine-Doll Specials"
"Sacred Seven Movie: Shirogane no Tsubasa Picture Drama"
"Sacred Seven Movie: Shirogane no Tsubasa"
"Harukanaru Toki no Naka de ~Ajisai Yumegatari~"
"Daddy Long Legs"
"Urban Square: Kouhaku no Tsuigeki"
"The Adventures of Peter Pan"
"Lupin III Special 4: From Siberia With Love"
"Ashita no Joe Movie"
"Shippu! Iron Leaguer"
"Flying House"
"Starship Girl Yamamoto Yohko I"
"Astro Boy (1963)"
"Nineteen 19"
"Sailor Moon Super S Plus - Ami's First Love"
"Lupin III: Legend of the Gold of Babylon"
"80 Days Around the World With Willy Fog"
"Omishi Magical Theater: Risky Safety"
"Lupin III Special 11: The Columbus Files"
"Armored Dragon Legend Villgust"
"Attack No. 1"
"Kaitei Choutokkyuu Marine Express"
"Aoi and Mutsuki: A Pair of Queens"
"Miss Machiko!"
"Gatchaman OVA"
"The Brave Command Dagwon"
"Tomorrow's Joe 2: The Movie"
"Mouse and His Child"
"Idol Tenshi Youkoso Yoko"
"Nazca"
"MD Geist II: Death Force"
"Sora Tobu Yuureisen"
"Magical Girl Pretty Sammy TV"
"Jungle Book"
"Gall Force 4: Rhea Gall Force"
